Borough,Block,Lot,BIN, Building,Agency,2010 Rating *,2010 Source EUI (kBtu/sq.ft.),2010 GHG Emissions Intensity (kgCO2e/ft²)*,2014 Score *,2014 Source EUI (kBtu/ft²)*,2014 GHG Emissions Intensity (kgCO2e/ft²)*
Bronx,3120.0,20.0,2123911.0,Bronx Zoo Campus: Seabird Aviary (Aitken),CIG,Not Available,654.4,32.8,Not Available,713.9,36
Bronx,3120.0,20.0,2123911.0,"Bronx Zoo Campus: Shelter Bldg (Elephant, Rhino, Tiger)",CIG,Not Available,654.4,32.8,Not Available,713.9,36
Bronx,3120.0,20.0,2123911.0,Bronx Zoo Campus: TOPS,CIG,Not Available,654.4,32.8,Not Available,713.9,36
Bronx,3120.0,20.0,2123911.0,Bronx Zoo Campus: Wildlife Health Center,CIG,Not Available,654.4,32.8,Not Available,713.9,36
Bronx,3120.0,20.0,2123911.0,Bronx Zoo Campus: World of Birds,CIG,Not Available,654.4,32.8,Not Available,713.9,36
Bronx,3120.0,20.0,2123911.0,Bronx Zoo Campus: Zoo Center,CIG,Not Available,654.4,32.8,Not Available,713.9,36
Bronx,3272.0,1.0,2820080.0,New York Botanical Garden Campus: Charles B. Harding Laboratory Building,CIG,Not Available,121.3,3.7,Not Available,381,12.8
Bronx,3272.0,1.0,2113012.0,New York Botanical Garden Campus: Enid A. Haupt Conservatory,CIG,Not Available,121.3,3.7,Not Available,381,12.8
Bronx,3272.0,1.0,2113012.0,New York Botanical Garden Campus: Garden Cafe & Terrace Room,CIG,Not Available,121.3,3.7,Not Available,381,12.8
Bronx,3272.0,1.0,2113265.0,New York Botanical Garden Campus: Harriet Barnes Pratt Library Wing,CIG,Not Available,121.3,3.7,Not Available,381,12.8
Bronx,3272.0,1.0,2113265.0,New York Botanical Garden Campus: International Plant Science Center,CIG,Not Available,121.3,3.7,Not Available,381,12.8
Bronx,3272.0,1.0,2113265.0,New York Botanical Garden Campus: Jeannette Kittredge Watson Science and Education Building,CIG,Not Available,121.3,3.7,Not Available,381,12.8
Bronx,3272.0,1.0,2113265.0,New York Botanical Garden Campus: LuEsther T. Mertz Library (Museum Building),CIG,Not Available,121.3,3.7,Not Available,381,12.8
Bronx,3272.0,1.0,2113265.0,New York Botanical Garden Campus: Pfizer Plant Research Laboratory,CIG,Not Available,121.3,3.7,Not Available,381,12.8
Bronx,3273.0,1.0,2823840.0,New York Botanical Garden Campus: Stone Mill,CIG,Not Available,121.3,3.7,Not Available,381,12.8
Bronx,3273.0,122.0,2094718.0,NYBG: Warehouse Upper and Lower,CIG,Not Available,121.3,3.7,1,419.1,12.1
Bronx,4336.0,1.0,2115623.0,New York Botanical Garden Campus: Nolen Glasshouses,CIG,Not Available,121.3,3.7,Not Available,381,12.8
Bronx,4336.0,1.0,2115623.0,New York Botanical Garden Campus: Operations Garage/Storage Building,CIG,Not Available,121.3,3.7,Not Available,381,12.8
Bronx,4336.0,1.0,2115623.0,New York Botanical Garden Campus: Operations Multi-Purpose Building,CIG,Not Available,121.3,3.7,Not Available,381,12.8
Bronx,5937.0,440.0,2101020.0,Wave Hill Campus: Wave Hill House,CIG,Not Available,45.4,1.6,Not Available,90,3.7
Bronx,5937.0,440.0,2101020.0,Wave Hill Campus: Wave Hill Museum Building,CIG,Not Available,45.4,1.6,Not Available,90,3.7
Brooklyn,1183.0,1.0,3337842.0,Brooklyn Botanical Garden Campus: Brooklyn Botanical Garden Administrative Building,CIG,Not Available,227.8,8.5,Not Available,362.3,13.4
Brooklyn,1183.0,1.0,3337842.0,Brooklyn Botanical Garden Campus: Brooklyn Botanical Garden Conservatory,CIG,Not Available,227.8,8.5,Not Available,362.3,13.4
Brooklyn,1183.0,1.0,3337842.0,Brooklyn Botanical Garden Campus: Brooklyn Botanical Garden Palm House,CIG,Not Available,227.8,8.5,Not Available,362.3,13.4
Brooklyn,1183.0,1.0,3337842.0,Brooklyn Botanical Garden Campus: Brooklyn Botanical Garden Service Garage,CIG,Not Available,227.8,8.5,Not Available,362.3,13.4
Brooklyn,1183.0,26.0,3029667.0,Brooklyn Museum,CIG,Not Available,290.7,9.8,Not Available,308.4,10.6
Brooklyn,1190.0,61.0,3029723.0,BBG Technical Services Center,CIG,Not Available,152.7,4.5,Not Available,96.2,3.3
